planet_name,num_planets,period,axis,density,distance,mass_e,radius_e,star_temp,star_mass,star_radius,star_type_num,star_type,disc_method,link
HATS-13 b,1,3.0440499,0.04057,0.377,476,172.58169,13.585,5523,0.96,0.89,,,Transit,http://exoplanet.eu/catalog/hats-13_b/
Kepler-271 b,2,5.217738,0.056,,,,0.89,5524,,0.88,,,Transit,http://exoplanet.eu/catalog/kepler-271_b/
Kepler-271 c,2,7.410935,0.071,,,,1,5524,,0.88,,,Transit,http://exoplanet.eu/catalog/kepler-271_c/
WASP-98 b,1,2.96264,0.036,0.84,,263.79,12.33,5525,0.69,0.7,4.7,G7,Transit,http://exoplanet.eu/catalog/wasp-98_b/
Kepler-172 b,4,2.940309,0.04,,,,2.35,5526,0.86,1.08,,,Transit,http://exoplanet.eu/catalog/kepler-172_b/
Kepler-172 c,4,6.388996,0.068,,,,2.86,5526,0.86,1.08,,,Transit,http://exoplanet.eu/catalog/kepler-172_c/
Kepler-172 d,4,14.627119,0.118,,,,2.25,5526,0.86,1.08,,,Transit,http://exoplanet.eu/catalog/kepler-172_d/
Kepler-172 e,4,35.118736,0.211,,,,2.76,5526,0.86,1.08,,,Transit,http://exoplanet.eu/catalog/kepler-172_e/
Kepler-251 b,4,4.790936,0.053,,,,1.33,5526,0.91,0.89,,,Transit,http://exoplanet.eu/catalog/kepler-251_b/
Kepler-251 c,4,16.514043,0.122,,,,2.77,5526,0.91,0.89,,,Transit,http://exoplanet.eu/catalog/kepler-251_c/
Kepler-251 d,4,30.133001,0.182,,,,2.77,5526,0.91,0.89,,,Transit,http://exoplanet.eu/catalog/kepler-251_d/
Kepler-251 e,4,99.640161,0.404,,,,2.77,5526,0.91,0.89,,,Transit,http://exoplanet.eu/catalog/kepler-251_e/
Kepler-319 b,3,4.362705,0.051,,,,1.63,5526,1.29,0.9,,,Transit,http://exoplanet.eu/catalog/kepler-319_b/
Kepler-319 c,3,6.941357,0.069,,,,2.63,5526,1.29,0.9,,,Transit,http://exoplanet.eu/catalog/kepler-319_c/
Kepler-319 d,3,31.781925,0.191,,,,2.29,5526,1.29,0.9,,,Transit,http://exoplanet.eu/catalog/kepler-319_d/
Kepler-453 b,1,240.503,0.7903,,,0.2,6.204,5527,0.94,0.83,,,Transit,http://exoplanet.eu/catalog/kic_9632895_%28ab%29_b/
Kepler-406 b,2,2.42629,,11.82,,6.35,1.43,5538,1.07,1.07,,,Transit,
Kepler-406 c,2,4.62332,,24.39,,2.71,0.85,5538,1.07,1.07,,,Transit,
Kepler-98 b,1,1.54168,,2.18,,3.55,1.99,5539,0.99,1.11,,,Transit,
GJ 3021 b,1,133.71,0.49,,17.62,,,5540,0.9,0.9,4.6,G6 V,Radial Velocity,http://exoplanet.eu/catalog/gj_3021_b/
WASP-96 b,1,3.4252602,0.0453,0.37,,152.55,13.45,5540,1.06,1.05,4.8,G8,Transit,http://exoplanet.eu/catalog/wasp-96_b/
Kepler-19 b,2,9.2869944,,10.4,2119,20.3,2.209,5541,0.94,0.85,,,Transit,http://exoplanet.eu/catalog/kepler-19_b/
Kepler-19 c,2,160,,,2119,1906.9,,5541,0.94,0.85,,,Transit Timing Variations,http://exoplanet.eu/catalog/kepler-19_c/
HD 163607 b,2,75.29,0.36,,69.44,,,5543,1.09,1.63,4.5,G5 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_163607_b/
HD 163607 c,2,1314,2.42,,69.44,,,5543,1.09,1.63,4.5,G5 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_163607_c/
Kepler-112 b,2,8.408878,0.076,,,,2.36,5544,,0.84,,,Transit,http://exoplanet.eu/catalog/kepler-112_b/
Kepler-112 c,2,28.574263,0.172,,,,2.4,5544,,0.84,,,Transit,http://exoplanet.eu/catalog/kepler-112_c/
KOI-217 b,1,3.90512,0.0477,,800,,12.442,5545,0.95,0.86,,,Transit,
WASP-41 b,2,3.052404,0.04,0.74,180,298.7602,13.227,5545,0.93,0.87,,,Transit,http://exoplanet.eu/catalog/wasp-41_b/
WASP-41 c,2,421,1.07,,180,,,5545,0.93,0.87,,,Radial Velocity,http://exoplanet.eu/catalog/wasp-41_c/
HD 28185 b,1,385.9,1.032,,39.6,,,5546,0.98,,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_28185_b/
HD 108874 b,2,395.8,1.038,,68.5,,,5551,0.95,,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_108874_b/
HD 108874 c,2,1624,2.659,,68.5,,,5551,0.95,,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_108874_c/
